iter	RMSE
0	0.08468319543
1	0.08267302839
2	0.08066509744
3	0.07885168077
4	0.07717799835
5	0.07555578062
6	0.07386848762
7	0.07238224407
8	0.07116365497
9	0.06995970506
10	0.06867620527
11	0.06755428827
12	0.06643639782
13	0.06540313996
14	0.06443231499
15	0.06362742747
16	0.06272648671
17	0.06191553939
18	0.06111370159
19	0.06042791333
20	0.05976006014
21	0.05915920031
22	0.05861147827
23	0.05803749994
24	0.05756653221
25	0.05709350789
26	0.05661477008
27	0.05623010177
28	0.0557894946
29	0.05546870134
30	0.05515652544
31	0.05485481158
32	0.0544929159
33	0.05416376104
34	0.05386608854
35	0.053576119
36	0.0533062974
37	0.05301584673
38	0.05280444992
39	0.05256550398
40	0.05230863738
41	0.05215708044
42	0.05196904405
43	0.0517735029
44	0.05157669393
45	0.05139085475
46	0.05124066593
47	0.05108205199
48	0.05091659889
49	0.05077585153
50	0.0506231105
51	0.05046597486
52	0.0503436598
53	0.05021813778
54	0.05012153887
55	0.05001835234
56	0.0499145287
57	0.04981440121
58	0.0496964305
59	0.04963009188
60	0.04954482864
61	0.04944439758
62	0.04934458093
63	0.04924269713
64	0.04914076147
65	0.0491001687
66	0.04900710185
67	0.04895236862
68	0.04886002512
69	0.04877669381
70	0.04869697392
71	0.04863046848
72	0.04856864499
73	0.04849058038
74	0.04839930024
75	0.04832225552
76	0.04825838627
77	0.04818656906
78	0.04811871762
79	0.04805821461
80	0.04798906675
81	0.04792319339
82	0.04787774099
83	0.04780059137
84	0.04775451651
85	0.0476501835
86	0.04761392707
87	0.04755591439
88	0.04749066786
89	0.04745236231
90	0.0473890344
91	0.04733532105
92	0.04728076119
93	0.04722705503
94	0.0471855206
95	0.04710961145
96	0.04703891265
97	0.04700804801
98	0.0469854902
99	0.04695065432
100	0.04688109403
101	0.04684063943
102	0.04680400287
103	0.04675594545
104	0.04671918695
105	0.04665673476
106	0.04659611868
107	0.04655590267
108	0.04651459446
109	0.04647369516
110	0.04642763107
111	0.04636666563
112	0.04629538009
113	0.04627161966
114	0.04621808561
115	0.04616358335
116	0.04613796766
117	0.04609895847
118	0.04603511953
119	0.0460081829
120	0.04596701517
121	0.04593540979
122	0.04591476181
123	0.04587560078
124	0.04584422509
125	0.04581408291
126	0.04576710861
127	0.04572205447
128	0.04565162963
129	0.04561514706
130	0.04557350596
131	0.04551651911
132	0.04549125167
133	0.04546336713
134	0.04543275477
135	0.0454080471
136	0.04538386593
137	0.04535199819
138	0.04532455363
139	0.04528460626
140	0.04523874037
141	0.04519258107
142	0.04514928532
143	0.04513230952
144	0.04509357783
145	0.04504303206
146	0.04500789329
147	0.04497270044
148	0.04495098193
149	0.04491704557
150	0.04483372367
151	0.04476691043
152	0.04472967142
153	0.04471017733
154	0.04468968599
155	0.04464995584
156	0.0446243314
157	0.04458478242
158	0.04453590955
159	0.04450012514
160	0.04445639943
161	0.04443546144
162	0.04439039976
163	0.04436959086
164	0.04433261703
165	0.04430614629
166	0.04425467412
167	0.04421811314
168	0.04418173217
169	0.04415420214
170	0.04411705062
171	0.04409134037
172	0.0440567823
173	0.04399853713
174	0.04394295035
175	0.0439158044
176	0.04387012214
177	0.04382452157
178	0.04378995539
179	0.04373253114
180	0.04371391196
181	0.04367032374
182	0.04360487431
183	0.04357335726
184	0.0435205375
185	0.04347569303
186	0.0434354636
187	0.04340528889
188	0.04338245031
189	0.04332867001
190	0.0433008452
191	0.04326443088
192	0.04323700095
193	0.04320326202
194	0.04317375461
195	0.04313306228
196	0.04308964272
197	0.04304161246
198	0.04299505366
199	0.04294195385
